Release Date,Time_pmi,Actual_pmi,Forecast_pmi,Previous_pmi,Label_pmi
2024-10-01,09:00,47.2,47.6,47.2,5
2024-09-03,09:00,47.2,47.5,46.8,5
2024-08-01,09:00,46.8,48.8,48.5,5
2024-07-01,09:00,48.5,49.2,48.7,5
2024-06-03,09:00,48.7,49.8,49.2,5
2024-05-01,09:00,49.2,50.0,50.3,5
2024-04-01,09:00,50.3,48.5,47.8,0
2024-03-01,10:00,47.8,49.5,49.1,5
2024-02-01,10:00,49.1,47.2,47.1,3
2024-01-03,10:00,47.4,47.1,46.7,3
2023-12-01,10:00,46.7,47.6,46.7,5
2023-11-01,09:00,46.7,49.0,49.0,5
2023-10-02,09:00,49.0,47.7,47.6,3
2023-09-01,09:00,47.6,47.0,46.4,3
2023-08-01,09:00,46.4,46.8,46.0,5
2023-07-03,09:00,46.0,47.2,46.9,5
2023-06-01,09:00,46.9,47.0,47.1,5
2023-05-01,09:00,47.1,46.8,46.3,3
2023-04-03,09:00,46.3,47.5,47.7,5
2023-03-01,10:00,47.7,48.0,47.4,5
2023-02-01,10:00,47.4,48.0,48.4,5
2023-01-04,10:00,48.4,48.5,49.0,5
2022-12-01,10:00,49.0,49.8,50.2,5
2022-11-01,09:00,50.2,50.0,50.9,0
2022-10-03,09:00,50.9,52.2,52.8,2
2022-09-01,09:00,52.8,52.0,52.8,0
2022-08-01,09:00,52.8,52.0,53.0,0
2022-07-01,09:00,53.0,54.9,56.1,2
2022-06-01,09:00,56.1,54.5,55.4,0
2022-05-02,09:00,55.4,57.6,57.1,2
2022-04-01,09:00,57.1,59.0,58.6,2
2022-03-01,10:00,58.6,58.0,57.6,0
2022-02-01,10:00,57.6,57.5,58.8,0
2022-01-04,10:00,58.7,60.0,61.1,2
2021-12-01,10:00,61.1,61.0,60.8,0
2021-11-01,09:00,60.8,60.5,61.1,0
2021-10-01,09:00,61.1,59.6,59.9,0
2021-09-01,09:00,59.9,58.6,59.5,0
2021-08-02,09:00,59.5,60.9,60.6,2
2021-07-01,09:00,60.6,61.0,61.2,2
2021-06-01,09:00,61.2,60.9,60.7,0
2021-05-03,09:00,60.7,65.0,64.7,2
2021-04-01,09:00,64.7,61.3,60.8,0
2021-03-01,10:00,60.8,58.8,58.7,0
2021-02-01,10:00,58.7,60.0,60.5,2
2021-01-05,10:00,60.7,56.6,57.5,0
2020-12-01,10:00,57.5,58.0,59.3,2
2020-11-02,10:00,59.3,55.8,55.4,0
2020-10-01,09:00,55.4,56.4,56.0,2
2020-09-01,09:00,56.0,54.5,54.2,0
2020-08-03,09:00,54.2,53.6,52.6,0
2020-07-01,09:00,52.6,49.5,43.1,0
2020-06-01,09:00,43.1,43.0,41.5,3
2020-05-01,09:00,41.5,36.9,49.1,3
2020-04-01,09:00,49.1,45.0,50.1,3
2020-03-02,10:00,50.1,50.5,50.9,2
2020-02-03,10:00,50.9,48.5,47.8,0
2020-01-03,10:00,47.2,49.0,48.1,5
